state,district,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
JH,Godda,7385.0,16537.0,1.0,1.0,,,
JH,Gumla,4900.0,8696.0,5.0,,,,
JH,Hazaribagh,11940.0,21857.0,3.0,3.0,,,
JH,Jamtara,9614.0,12331.0,4.0,3.0,1.0,,
JH,Khunti,3335.0,3834.0,,,,,
JH,Koderma,3393.0,11488.0,,,,,
JH,Latehar,9565.0,7719.0,,,,,
JH,Lohardaga,3444.0,3563.0,,2.0,,,
JH,Pakur,9945.0,9107.0,,,,,
JH,Palamu,21657.0,37375.0,,,,,
JH,Ramgarh,5306.0,10927.0,7.0,,,,
JH,Ranchi,35099.0,38856.0,182.0,228.0,,,
JH,Sahibganj,10449.0,13687.0,,,,,
JH,Saraikela-Kharsawan,11215.0,12399.0,,,,,
JH,Simdega,1694.0,4126.0,,,,,
JH,Unknown,,,-166.0,-70.0,,,
JH,West Singhbhum,12587.0,16980.0,5.0,5.0,,,
JK,Anantnag,1472.0,30949.0,10.0,12.0,,,
JK,Bandipora,349.0,6835.0,13.0,19.0,,,
JK,Baramulla,1665.0,29357.0,96.0,64.0,,,
JK,Budgam,1409.0,22456.0,63.0,53.0,,,
JK,Doda,1065.0,19212.0,18.0,26.0,,,
JK,Ganderbal,370.0,9271.0,31.0,12.0,,,
JK,Jammu,4121.0,16781.0,20.0,37.0,,,
JK,Kathua,1867.0,22270.0,,5.0,1.0,,
JK,Kishtwar,3948.0,3385.0,1.0,,,,
JK,Kulgam,632.0,20244.0,2.0,5.0,,,
JK,Kupwara,3959.0,42820.0,25.0,25.0,,,
JK,Pulwama,1021.0,16829.0,5.0,5.0,,,
JK,Punch,695.0,27765.0,7.0,14.0,,,
JK,Rajouri,1247.0,9544.0,4.0,7.0,,,
JK,Ramban,1498.0,10369.0,3.0,,,,
JK,Reasi,1644.0,15636.0,4.0,10.0,,,
JK,Samba,1207.0,6224.0,,2.0,,,
JK,Shopiyan,139.0,7669.0,,,,,
JK,Srinagar,2788.0,80075.0,305.0,274.0,2.0,,
JK,Udhampur,2420.0,14763.0,4.0,2.0,,,
KA,Bagalkote,57683.0,22844.0,,,,,
KA,Ballari,54006.0,84805.0,9.0,14.0,,,
KA,Belagavi,39701.0,98350.0,20.0,21.0,1.0,,
KA,Bengaluru Rural,5196.0,22700.0,23.0,27.0,2.0,,
KA,Bengaluru Urban,48836.0,247281.0,1165.0,1093.0,37.0,,
KA,Bidar,13739.0,30558.0,,5.0,,,
KA,Chamarajanagara,2102.0,36658.0,6.0,15.0,,,
KA,Chikkaballapura,4700.0,19860.0,11.0,8.0,3.0,,
KA,Chikkamagaluru,4830.0,13010.0,28.0,93.0,,,
KA,Chitradurga,45062.0,47252.0,17.0,12.0,,,
KA,Dakshina Kannada,5124.0,38765.0,192.0,193.0,9.0,,
KA,Davanagere,7079.0,28149.0,10.0,11.0,1.0,,
KA,Dharwad,24515.0,35313.0,4.0,10.0,3.0,,
KA,Gadag,12373.0,16257.0,,,,,
KA,Hassan,5434.0,26697.0,147.0,125.0,5.0,,
KA,Haveri,8794.0,36386.0,1.0,2.0,1.0,,
KA,Kalaburagi,35135.0,44220.0,9.0,5.0,,,
KA,Kodagu,1558.0,12680.0,112.0,67.0,,,
KA,Kolar,13745.0,34211.0,18.0,31.0,3.0,,
KA,Koppal,16045.0,33794.0,1.0,5.0,,,
KA,Mandya,5411.0,28944.0,48.0,36.0,,,
